locationid	dateforecastfor	dateforecastmade	maxtemp	mintemp	tempunit	conditions	conditionsicon
Edinburgh	2016-09-25	2016-09-25	16	8	C	Partly Cloudy	http://icons.wxug.com/i/c/k/partlycloudy.gif
Edinburgh	2016-09-26	2016-09-26	12	8	C	Mostly Cloudy	http://icons.wxug.com/i/c/k/mostlycloudy.gif
Edinburgh	2016-09-27	2016-09-27	17	12	C	Partly Cloudy	http://icons.wxug.com/i/c/k/partlycloudy.gif
Edinburgh	2016-09-28	2016-09-28	18	11	C	Chance of Rain	http://icons.wxug.com/i/c/k/chancerain.gif
Edinburgh	2016-09-29	2016-09-29	15	8	C	Chance of Rain	http://icons.wxug.com/i/c/k/chancerain.gif
Edinburgh	2016-09-30	2016-09-30	12	6	C	Partly Cloudy	http://icons.wxug.com/i/c/k/partlycloudy.gif
Edinburgh	2016-10-02	2016-10-02	12	5	C	Partly Cloudy	http://icons.wxug.com/i/c/k/partlycloudy.gif
Edinburgh	2016-10-01	2016-10-01	12	5	C	Partly Cloudy	http://icons.wxug.com/i/c/k/partlycloudy.gif
Edinburgh	2016-10-03	2016-10-03	15	7	C	Clear	http://icons.wxug.com/i/c/k/clear.gif
Edinburgh	2016-10-04	2016-10-04	16	8	C	Partly Cloudy	http://icons.wxug.com/i/c/k/partlycloudy.gif
Edinburgh	2016-10-06	2016-10-06	13	8	C	Overcast	http://icons.wxug.com/i/c/k/cloudy.gif
Edinburgh	2016-10-05	2016-10-05	15	6	C	Clear	http://icons.wxug.com/i/c/k/clear.gif
Edinburgh	2016-10-07	2016-10-07	13	6	C	Partly Cloudy	http://icons.wxug.com/i/c/k/partlycloudy.gif
Edinburgh	2016-10-08	2016-10-08	13	6	C	Partly Cloudy	http://icons.wxug.com/i/c/k/partlycloudy.gif
Edinburgh	2016-10-09	2016-10-09	12	4	C	Partly Cloudy	http://icons.wxug.com/i/c/k/partlycloudy.gif
Edinburgh	2016-10-10	2016-10-10	12	8	C	Chance of Rain	http://icons.wxug.com/i/c/k/chancerain.gif
Edinburgh	2016-10-11	2016-10-11	12	6	C	Chance of Rain	http://icons.wxug.com/i/c/k/chancerain.gif
Edinburgh	2016-10-12	2016-10-12	11	7	C	Chance of Rain	http://icons.wxug.com/i/c/k/chancerain.gif
Edinburgh	2016-10-15	2016-10-15	12	7	C	Partly Cloudy	http://icons.wxug.com/i/c/k/partlycloudy.gif
Edinburgh	2016-10-13	2016-10-13	12	7	C	Chance of Rain	http://icons.wxug.com/i/c/k/chancerain.gif
Edinburgh	2016-10-14	2016-10-14	12	9	C	Chance of Rain	http://icons.wxug.com/i/c/k/chancerain.gif
Edinburgh	2016-10-17	2016-10-17	13	6	C	Rain	http://icons.wxug.com/i/c/k/rain.gif
Edinburgh	2016-10-16	2016-10-16	14	9	C	Chance of Rain	http://icons.wxug.com/i/c/k/chancerain.gif
Edinburgh	2016-10-18	2016-10-18	11	6	C	Partly Cloudy	http://icons.wxug.com/i/c/k/partlycloudy.gif
Edinburgh	2016-10-19	2016-10-19	12	6	C	Partly Cloudy	http://icons.wxug.com/i/c/k/partlycloudy.gif
Edinburgh	2016-10-20	2016-10-20	12	6	C	Mostly Cloudy	http://icons.wxug.com/i/c/k/mostlycloudy.gif
Edinburgh	2016-10-21	2016-10-21	11	4	C	Partly Cloudy	http://icons.wxug.com/i/c/k/partlycloudy.gif
Edinburgh	2016-10-22	2016-10-22	11	5	C	Chance of Rain	http://icons.wxug.com/i/c/k/chancerain.gif
Edinburgh	2016-10-23	2016-10-23	10	4	C	Chance of Rain	http://icons.wxug.com/i/c/k/chancerain.gif
Edinburgh	2016-10-24	2016-10-24	9	4	C	Mostly Cloudy	http://icons.wxug.com/i/c/k/mostlycloudy.gif
Edinburgh	2016-10-25	2016-10-25	12	8	C	Overcast	http://icons.wxug.com/i/c/k/cloudy.gif
Edinburgh	2016-10-26	2016-10-26	13	8	C	Partly Cloudy	http://icons.wxug.com/i/c/k/partlycloudy.gif
Edinburgh	2016-10-27	2016-10-27	13	7	C	Partly Cloudy	http://icons.wxug.com/i/c/k/partlycloudy.gif
Edinburgh	2016-10-28	2016-10-28	12	8	C	Mostly Cloudy	http://icons.wxug.com/i/c/k/mostlycloudy.gif
Edinburgh	2016-10-29	2016-10-29	13	8	C	Partly Cloudy	http://icons.wxug.com/i/c/k/partlycloudy.gif
Edinburgh	2016-10-30	2016-10-30	13	8	C	Partly Cloudy	http://icons.wxug.com/i/c/k/partlycloudy.gif
Edinburgh	2016-11-02	2016-11-02	10	4	C	Mostly Cloudy	http://icons.wxug.com/i/c/k/mostlycloudy.gif
Edinburgh	2016-10-31	2016-10-31	13	3	C	Rain	http://icons.wxug.com/i/c/k/rain.gif
Edinburgh	2016-11-01	2016-11-01	9	3	C	Clear	http://icons.wxug.com/i/c/k/clear.gif
Edinburgh	2016-11-03	2016-11-03	8	3	C	Partly Cloudy	http://icons.wxug.com/i/c/k/partlycloudy.gif
Edinburgh	2016-11-04	2016-11-04	8	3	C	Chance of Rain	http://icons.wxug.com/i/c/k/chancerain.gif
Edinburgh	2016-11-05	2016-11-05	7	3	C	Partly Cloudy	http://icons.wxug.com/i/c/k/partlycloudy.gif
Edinburgh	2016-11-06	2016-11-06	7	2	C	Mostly Cloudy	http://icons.wxug.com/i/c/k/mostlycloudy.gif
Edinburgh	2016-11-08	2016-11-08	6	2	C	Chance of Rain	http://icons.wxug.com/i/c/k/chancerain.gif
Edinburgh	2016-11-07	2016-11-07	6	-1	C	Partly Cloudy	http://icons.wxug.com/i/c/k/partlycloudy.gif
Edinburgh	2016-11-09	2016-11-09	4	2	C	Chance of Rain	http://icons.wxug.com/i/c/k/chancerain.gif
Edinburgh	2016-11-10	2016-11-10	7	1	C	Partly Cloudy	http://icons.wxug.com/i/c/k/partlycloudy.gif
Edinburgh	2016-11-11	2016-11-11	7	7	C	Rain	http://icons.wxug.com/i/c/k/rain.gif
Edinburgh	2016-11-12	2016-11-12	11	3	C	Partly Cloudy	http://icons.wxug.com/i/c/k/partlycloudy.gif
Edinburgh	2016-11-14	2016-11-14	13	11	C	Overcast	http://icons.wxug.com/i/c/k/cloudy.gif
Edinburgh	2016-11-13	2016-11-13	10	9	C	Rain	http://icons.wxug.com/i/c/k/rain.gif
Edinburgh	2016-11-15	2016-11-15	13	7	C	Rain	http://icons.wxug.com/i/c/k/rain.gif
Edinburgh	2016-11-16	2016-11-16	10	3	C	Rain	http://icons.wxug.com/i/c/k/rain.gif
Edinburgh	2016-11-18	2016-11-18	5	0	C	Partly Cloudy	http://icons.wxug.com/i/c/k/partlycloudy.gif
Edinburgh	2016-11-17	2016-11-17	5	1	C	Chance of Rain	http://icons.wxug.com/i/c/k/chancerain.gif
Edinburgh	2016-11-19	2016-11-19	5	-1	C	Clear	http://icons.wxug.com/i/c/k/clear.gif
Edinburgh	2016-11-20	2016-11-20	1	-2	C	Partly Cloudy	http://icons.wxug.com/i/c/k/partlycloudy.gif
Edinburgh	2016-11-21	2016-11-21	4	3	C	Rain	http://icons.wxug.com/i/c/k/rain.gif
Edinburgh	2016-11-22	2016-11-22	6	-1	C	Partly Cloudy	http://icons.wxug.com/i/c/k/partlycloudy.gif
Edinburgh	2016-11-24	2016-11-24	2	-2	C	Clear	http://icons.wxug.com/i/c/k/clear.gif
Edinburgh	2016-11-23	2016-11-23	2	-2	C	Clear	http://icons.wxug.com/i/c/k/clear.gif
Edinburgh	2016-11-25	2016-11-25	3	1	C	Fog	http://icons.wxug.com/i/c/k/fog.gif
Edinburgh	2016-11-26	2016-11-26	8	2	C	Fog	http://icons.wxug.com/i/c/k/fog.gif
Edinburgh	2016-11-27	2016-11-27	6	1	C	Partly Cloudy	http://icons.wxug.com/i/c/k/partlycloudy.gif
Edinburgh	2016-11-28	2016-11-28	6	0	C	Partly Cloudy	http://icons.wxug.com/i/c/k/partlycloudy.gif
Edinburgh	2016-11-29	2016-11-29	7	3	C	Partly Cloudy	http://icons.wxug.com/i/c/k/partlycloudy.gif
Edinburgh	2016-11-30	2016-11-30	8	7	C	Partly Cloudy	http://icons.wxug.com/i/c/k/partlycloudy.gif
Edinburgh	2016-12-01	2016-12-01	10	3	C	Partly Cloudy	http://icons.wxug.com/i/c/k/partlycloudy.gif
Edinburgh	2016-12-02	2016-12-02	7	3	C	Overcast	http://icons.wxug.com/i/c/k/cloudy.gif
Edinburgh	2016-12-03	2016-12-03	6	-1	C	Partly Cloudy	http://icons.wxug.com/i/c/k/partlycloudy.gif
Edinburgh	2016-12-04	2016-12-04	4	-1	C	Partly Cloudy	http://icons.wxug.com/i/c/k/partlycloudy.gif
Edinburgh	2016-12-07	2016-12-07	13	9	C	Partly Cloudy	http://icons.wxug.com/i/c/k/partlycloudy.gif
Edinburgh	2016-12-05	2016-12-05	2	-2	C	Mostly Cloudy	http://icons.wxug.com/i/c/k/mostlycloudy.gif
Edinburgh	2016-12-06	2016-12-06	5	6	C	Chance of Rain	http://icons.wxug.com/i/c/k/chancerain.gif
Edinburgh	2016-12-08	2016-12-08	11	6	C	Chance of Rain	http://icons.wxug.com/i/c/k/chancerain.gif
Edinburgh	2016-12-09	2016-12-09	12	8	C	Partly Cloudy	http://icons.wxug.com/i/c/k/partlycloudy.gif
Edinburgh	2016-12-10	2016-12-10	10	6	C	Partly Cloudy	http://icons.wxug.com/i/c/k/partlycloudy.gif
Edinburgh	2016-12-11	2016-12-11	9	5	C	Partly Cloudy	http://icons.wxug.com/i/c/k/partlycloudy.gif
Edinburgh	2016-12-13	2016-12-13	7	6	C	Chance of Rain	http://icons.wxug.com/i/c/k/chancerain.gif
Edinburgh	2016-12-12	2016-12-12	8	4	C	Chance of Rain	http://icons.wxug.com/i/c/k/chancerain.gif
Edinburgh	2016-12-14	2016-12-14	12	4	C	Chance of Rain	http://icons.wxug.com/i/c/k/chancerain.gif
Edinburgh	2016-12-15	2016-12-15	10	7	C	Chance of Rain	http://icons.wxug.com/i/c/k/chancerain.gif
Edinburgh	2016-12-16	2016-12-16	10	2	C	Partly Cloudy	http://icons.wxug.com/i/c/k/partlycloudy.gif
Edinburgh	2016-12-17	2016-12-17	7	6	C	Overcast	http://icons.wxug.com/i/c/k/cloudy.gif
Edinburgh	2016-12-18	2016-12-18	9	6	C	Partly Cloudy	http://icons.wxug.com/i/c/k/partlycloudy.gif
Edinburgh	2016-12-22	2016-12-22	5	2	C	Chance of Rain	http://icons.wxug.com/i/c/k/chancerain.gif
Edinburgh	2016-12-19	2016-12-19	8	0	C	Clear	http://icons.wxug.com/i/c/k/clear.gif
Edinburgh	2016-12-20	2016-12-20	7	3	C	Rain	http://icons.wxug.com/i/c/k/rain.gif
Edinburgh	2016-12-21	2016-12-21	6	2	C	Chance of Rain	http://icons.wxug.com/i/c/k/chancerain.gif
Edinburgh	2016-12-24	2016-12-24	6	6	C	Chance of Rain	http://icons.wxug.com/i/c/k/chancerain.gif
Edinburgh	2016-12-23	2016-12-23	9	3	C	Rain	http://icons.wxug.com/i/c/k/rain.gif
Edinburgh	2016-12-25	2016-12-25	12	2	C	Rain	http://icons.wxug.com/i/c/k/rain.gif
Edinburgh	2016-12-26	2016-12-26	5	4	C	Partly Cloudy	http://icons.wxug.com/i/c/k/partlycloudy.gif
Edinburgh	2016-12-28	2016-12-28	7	4	C	Partly Cloudy	http://icons.wxug.com/i/c/k/partlycloudy.gif
Edinburgh	2016-12-27	2016-12-27	6	3	C	Partly Cloudy	http://icons.wxug.com/i/c/k/partlycloudy.gif
Edinburgh	2016-12-30	2016-12-30	12	9	C	Partly Cloudy	http://icons.wxug.com/i/c/k/partlycloudy.gif
Edinburgh	2016-12-29	2016-12-29	8	7	C	Clear	http://icons.wxug.com/i/c/k/clear.gif
Edinburgh	2016-12-31	2016-12-31	11	0	C	Chance of Rain	http://icons.wxug.com/i/c/k/chancerain.gif
Edinburgh	2017-01-01	2017-01-01	6	-1	C	Partly Cloudy	http://icons.wxug.com/i/c/k/partlycloudy.gif
Edinburgh	2017-01-02	2017-01-02	3	2	C	Partly Cloudy	http://icons.wxug.com/i/c/k/partlycloudy.gif
Edinburgh	2017-01-04	2017-01-04	7	-3	C	Clear	http://icons.wxug.com/i/c/k/clear.gif
Edinburgh	2017-01-03	2017-01-03	7	2	C	Partly Cloudy	http://icons.wxug.com/i/c/k/partlycloudy.gif
