locationid	dateforecastfor	dateforecastmade	maxtemp	mintemp	tempunit	conditions	conditionsicon
Edinburgh	2017-12-02	2017-12-02	7	3	C	Rain	http://icons.wxug.com/i/c/k/rain.gif
WestLothian	2017-12-02	2017-11-29	6	4	C	Partly Cloudy	http://icons.wxug.com/i/c/k/partlycloudy.gif
EastLothian	2017-12-02	2017-11-29	8	7	C	Chance of Rain	http://icons.wxug.com/i/c/k/chancerain.gif
Fife	2017-12-02	2017-11-29	7	6	C	Partly Cloudy	http://icons.wxug.com/i/c/k/partlycloudy.gif
Edinburgh	2017-12-03	2017-12-03	7	4	C	Partly Cloudy	http://icons.wxug.com/i/c/k/partlycloudy.gif
Edinburgh	2017-12-04	2017-12-04	8	6	C	Mostly Cloudy	http://icons.wxug.com/i/c/k/mostlycloudy.gif
Edinburgh	2017-12-05	2017-12-05	8	7	C	Partly Cloudy	http://icons.wxug.com/i/c/k/partlycloudy.gif
WestLothian	2017-12-03	2017-12-02	7	5	C	Partly Cloudy	http://icons.wxug.com/i/c/k/partlycloudy.gif
WestLothian	2017-12-04	2017-12-02	8	5	C	Partly Cloudy	http://icons.wxug.com/i/c/k/partlycloudy.gif
WestLothian	2017-12-05	2017-12-02	8	7	C	Partly Cloudy	http://icons.wxug.com/i/c/k/partlycloudy.gif
Midlothian	2017-12-03	2017-12-02	6	4	C	Partly Cloudy	http://icons.wxug.com/i/c/k/partlycloudy.gif
Midlothian	2017-12-04	2017-12-02	8	4	C	Partly Cloudy	http://icons.wxug.com/i/c/k/partlycloudy.gif
Edinburgh	2017-12-06	2017-12-06	11	6	C	Rain	http://icons.wxug.com/i/c/k/rain.gif
Edinburgh	2017-12-07	2017-12-07	12	-2	C	Snow	http://icons.wxug.com/i/c/k/snow.gif
Edinburgh	2017-12-08	2017-12-08	1	-3	C	Clear	http://icons.wxug.com/i/c/k/clear.gif
WestLothian	2017-12-06	2017-12-05	11	6	C	Chance of Rain	http://icons.wxug.com/i/c/k/chancerain.gif
WestLothian	2017-12-07	2017-12-05	7	-2	C	Partly Cloudy	http://icons.wxug.com/i/c/k/partlycloudy.gif
WestLothian	2017-12-08	2017-12-05	2	-3	C	Clear	http://icons.wxug.com/i/c/k/clear.gif
Midlothian	2017-12-06	2017-12-05	11	6	C	Chance of Rain	http://icons.wxug.com/i/c/k/chancerain.gif
Midlothian	2017-12-07	2017-12-05	7	-2	C	Partly Cloudy	http://icons.wxug.com/i/c/k/partlycloudy.gif
Midlothian	2017-12-08	2017-12-05	2	-3	C	Clear	http://icons.wxug.com/i/c/k/clear.gif
EastLothian	2017-12-06	2017-12-05	12	7	C	Partly Cloudy	http://icons.wxug.com/i/c/k/partlycloudy.gif
EastLothian	2017-12-07	2017-12-05	8	0	C	Partly Cloudy	http://icons.wxug.com/i/c/k/partlycloudy.gif
EastLothian	2017-12-08	2017-12-05	4	-1	C	Partly Cloudy	http://icons.wxug.com/i/c/k/partlycloudy.gif
Fife	2017-12-06	2017-12-05	11	7	C	Chance of Rain	http://icons.wxug.com/i/c/k/chancerain.gif
Fife	2017-12-07	2017-12-05	8	-1	C	Partly Cloudy	http://icons.wxug.com/i/c/k/partlycloudy.gif
Fife	2017-12-08	2017-12-05	3	-2	C	Partly Cloudy	http://icons.wxug.com/i/c/k/partlycloudy.gif
Edinburgh	2017-12-09	2017-12-09	1	-6	C	Clear	http://icons.wxug.com/i/c/k/clear.gif
Edinburgh	2017-12-10	2017-12-10	-1	-4	C	Clear	http://icons.wxug.com/i/c/k/clear.gif
Edinburgh	2017-12-11	2017-12-11	1	-3	C	Partly Cloudy	http://icons.wxug.com/i/c/k/partlycloudy.gif
WestLothian	2017-12-09	2017-12-08	2	-6	C	Clear	http://icons.wxug.com/i/c/k/clear.gif
WestLothian	2017-12-10	2017-12-08	-1	-4	C	Partly Cloudy	http://icons.wxug.com/i/c/k/partlycloudy.gif
WestLothian	2017-12-11	2017-12-08	1	-3	C	Clear	http://icons.wxug.com/i/c/k/clear.gif
Midlothian	2017-12-09	2017-12-08	1	-6	C	Clear	http://icons.wxug.com/i/c/k/clear.gif
Midlothian	2017-12-10	2017-12-08	-1	-4	C	Partly Cloudy	http://icons.wxug.com/i/c/k/partlycloudy.gif
Midlothian	2017-12-11	2017-12-08	1	-3	C	Clear	http://icons.wxug.com/i/c/k/clear.gif
EastLothian	2017-12-09	2017-12-08	3	-3	C	Clear	http://icons.wxug.com/i/c/k/clear.gif
EastLothian	2017-12-10	2017-12-08	2	-1	C	Partly Cloudy	http://icons.wxug.com/i/c/k/partlycloudy.gif
EastLothian	2017-12-11	2017-12-08	3	0	C	Partly Cloudy	http://icons.wxug.com/i/c/k/partlycloudy.gif
Fife	2017-12-09	2017-12-08	2	-5	C	Partly Cloudy	http://icons.wxug.com/i/c/k/partlycloudy.gif
Fife	2017-12-10	2017-12-08	1	-3	C	Partly Cloudy	http://icons.wxug.com/i/c/k/partlycloudy.gif
Fife	2017-12-11	2017-12-08	2	-2	C	Clear	http://icons.wxug.com/i/c/k/clear.gif
Edinburgh	2017-12-13	2017-12-13	5	0	C	Partly Cloudy	http://icons.wxug.com/i/c/k/partlycloudy.gif
Edinburgh	2017-12-12	2017-12-12	4	2	C	Rain	http://icons.wxug.com/i/c/k/rain.gif
Edinburgh	2017-12-14	2017-12-14	2	-2	C	Ice Pellets	http://icons.wxug.com/i/c/k/sleet.gif
WestLothian	2017-12-12	2017-12-11	3	2	C	Chance of Rain	http://icons.wxug.com/i/c/k/chancerain.gif
WestLothian	2017-12-13	2017-12-11	3	-1	C	Snow	http://icons.wxug.com/i/c/k/snow.gif
WestLothian	2017-12-14	2017-12-11	2	-2	C	Chance of Rain	http://icons.wxug.com/i/c/k/chancerain.gif
Midlothian	2017-12-12	2017-12-11	3	2	C	Chance of Rain	http://icons.wxug.com/i/c/k/chancerain.gif
Midlothian	2017-12-13	2017-12-11	3	-1	C	Snow	http://icons.wxug.com/i/c/k/snow.gif
Midlothian	2017-12-14	2017-12-11	2	-2	C	Snow	http://icons.wxug.com/i/c/k/snow.gif
EastLothian	2017-12-12	2017-12-11	4	3	C	Chance of Rain	http://icons.wxug.com/i/c/k/chancerain.gif
EastLothian	2017-12-13	2017-12-11	5	2	C	Chance of Rain	http://icons.wxug.com/i/c/k/chancerain.gif
EastLothian	2017-12-14	2017-12-11	4	1	C	Mostly Cloudy	http://icons.wxug.com/i/c/k/mostlycloudy.gif
Fife	2017-12-12	2017-12-11	3	2	C	Mostly Cloudy	http://icons.wxug.com/i/c/k/mostlycloudy.gif
Fife	2017-12-13	2017-12-11	4	0	C	Chance of Rain	http://icons.wxug.com/i/c/k/chancerain.gif
Fife	2017-12-14	2017-12-11	4	-1	C	Chance of Rain	http://icons.wxug.com/i/c/k/chancerain.gif
Edinburgh	2017-12-15	2017-12-15	3	-2	C	Clear	http://icons.wxug.com/i/c/k/clear.gif
Edinburgh	2017-12-16	2017-12-16	2	-1	C	Chance of Rain	http://icons.wxug.com/i/c/k/chancerain.gif
Edinburgh	2017-12-17	2017-12-17	8	1	C	Partly Cloudy	http://icons.wxug.com/i/c/k/partlycloudy.gif
WestLothian	2017-12-15	2017-12-14	3	-2	C	Partly Cloudy	http://icons.wxug.com/i/c/k/partlycloudy.gif
WestLothian	2017-12-16	2017-12-14	2	-3	C	Partly Cloudy	http://icons.wxug.com/i/c/k/partlycloudy.gif
WestLothian	2017-12-17	2017-12-14	7	0	C	Chance of Rain	http://icons.wxug.com/i/c/k/chancerain.gif
Midlothian	2017-12-15	2017-12-14	3	-2	C	Partly Cloudy	http://icons.wxug.com/i/c/k/partlycloudy.gif
Midlothian	2017-12-16	2017-12-14	2	-3	C	Partly Cloudy	http://icons.wxug.com/i/c/k/partlycloudy.gif
Midlothian	2017-12-17	2017-12-14	7	1	C	Chance of Rain	http://icons.wxug.com/i/c/k/chancerain.gif
EastLothian	2017-12-15	2017-12-14	4	1	C	Partly Cloudy	http://icons.wxug.com/i/c/k/partlycloudy.gif
EastLothian	2017-12-16	2017-12-14	4	-1	C	Partly Cloudy	http://icons.wxug.com/i/c/k/partlycloudy.gif
EastLothian	2017-12-17	2017-12-14	8	2	C	Chance of Rain	http://icons.wxug.com/i/c/k/chancerain.gif
Fife	2017-12-15	2017-12-14	4	-1	C	Partly Cloudy	http://icons.wxug.com/i/c/k/partlycloudy.gif
Fife	2017-12-16	2017-12-14	3	-2	C	Partly Cloudy	http://icons.wxug.com/i/c/k/partlycloudy.gif
Fife	2017-12-17	2017-12-14	8	1	C	Chance of Rain	http://icons.wxug.com/i/c/k/chancerain.gif
Edinburgh	2017-12-18	2017-12-18	6	6	C	Mostly Cloudy	http://icons.wxug.com/i/c/k/mostlycloudy.gif
Edinburgh	2017-12-19	2017-12-19	11	9	C	Chance of Rain	http://icons.wxug.com/i/c/k/chancerain.gif
Edinburgh	2017-12-20	2017-12-20	11	4	C	Overcast	http://icons.wxug.com/i/c/k/cloudy.gif
WestLothian	2017-12-18	2017-12-17	6	4	C	Partly Cloudy	http://icons.wxug.com/i/c/k/partlycloudy.gif
WestLothian	2017-12-19	2017-12-17	11	8	C	Overcast	http://icons.wxug.com/i/c/k/cloudy.gif
WestLothian	2017-12-20	2017-12-17	9	4	C	Chance of Rain	http://icons.wxug.com/i/c/k/chancerain.gif
Midlothian	2017-12-18	2017-12-17	6	4	C	Partly Cloudy	http://icons.wxug.com/i/c/k/partlycloudy.gif
Midlothian	2017-12-19	2017-12-17	11	8	C	Overcast	http://icons.wxug.com/i/c/k/cloudy.gif
Midlothian	2017-12-20	2017-12-17	9	4	C	Chance of Rain	http://icons.wxug.com/i/c/k/chancerain.gif
EastLothian	2017-12-18	2017-12-17	7	5	C	Partly Cloudy	http://icons.wxug.com/i/c/k/partlycloudy.gif
EastLothian	2017-12-19	2017-12-17	11	9	C	Mostly Cloudy	http://icons.wxug.com/i/c/k/mostlycloudy.gif
EastLothian	2017-12-20	2017-12-17	10	5	C	Chance of Rain	http://icons.wxug.com/i/c/k/chancerain.gif
Fife	2017-12-18	2017-12-17	7	4	C	Partly Cloudy	http://icons.wxug.com/i/c/k/partlycloudy.gif
Fife	2017-12-19	2017-12-17	11	8	C	Overcast	http://icons.wxug.com/i/c/k/cloudy.gif
Fife	2017-12-20	2017-12-17	9	4	C	Chance of Rain	http://icons.wxug.com/i/c/k/chancerain.gif
Edinburgh	2017-12-21	2017-12-21	7	2	C	Partly Cloudy	http://icons.wxug.com/i/c/k/partlycloudy.gif
Edinburgh	2017-12-22	2017-12-22	8	8	C	Overcast	http://icons.wxug.com/i/c/k/cloudy.gif
Edinburgh	2017-12-23	2017-12-23	12	11	C	Chance of Rain	http://icons.wxug.com/i/c/k/chancerain.gif
WestLothian	2017-12-21	2017-12-20	7	3	C	Mostly Cloudy	http://icons.wxug.com/i/c/k/mostlycloudy.gif
WestLothian	2017-12-22	2017-12-20	8	7	C	Mostly Cloudy	http://icons.wxug.com/i/c/k/mostlycloudy.gif
WestLothian	2017-12-23	2017-12-20	11	8	C	Chance of Rain	http://icons.wxug.com/i/c/k/chancerain.gif
Midlothian	2017-12-21	2017-12-20	7	3	C	Partly Cloudy	http://icons.wxug.com/i/c/k/partlycloudy.gif
Midlothian	2017-12-22	2017-12-20	8	7	C	Mostly Cloudy	http://icons.wxug.com/i/c/k/mostlycloudy.gif
Midlothian	2017-12-23	2017-12-20	11	8	C	Chance of Rain	http://icons.wxug.com/i/c/k/chancerain.gif
EastLothian	2017-12-21	2017-12-20	8	4	C	Partly Cloudy	http://icons.wxug.com/i/c/k/partlycloudy.gif
Edinburgh	2017-12-24	2017-12-24	12	6	C	Rain	http://icons.wxug.com/i/c/k/rain.gif
Edinburgh	2017-12-25	2017-12-25	10	1	C	Rain	http://icons.wxug.com/i/c/k/rain.gif
Edinburgh	2017-12-26	2017-12-26	2	-3	C	Clear	http://icons.wxug.com/i/c/k/clear.gif
WestLothian	2017-12-24	2017-12-23	10	6	C	Chance of Rain	http://icons.wxug.com/i/c/k/chancerain.gif
WestLothian	2017-12-25	2017-12-23	7	1	C	Rain	http://icons.wxug.com/i/c/k/rain.gif
WestLothian	2017-12-26	2017-12-23	3	-2	C	Partly Cloudy	http://icons.wxug.com/i/c/k/partlycloudy.gif
Midlothian	2017-12-24	2017-12-23	10	6	C	Chance of Rain	http://icons.wxug.com/i/c/k/chancerain.gif
Midlothian	2017-12-25	2017-12-23	7	1	C	Rain	http://icons.wxug.com/i/c/k/rain.gif
Midlothian	2017-12-26	2017-12-23	3	-1	C	Mostly Cloudy	http://icons.wxug.com/i/c/k/mostlycloudy.gif
EastLothian	2017-12-24	2017-12-23	11	7	C	Chance of Rain	http://icons.wxug.com/i/c/k/chancerain.gif
EastLothian	2017-12-25	2017-12-23	8	2	C	Rain	http://icons.wxug.com/i/c/k/rain.gif
EastLothian	2017-12-26	2017-12-23	4	1	C	Partly Cloudy	http://icons.wxug.com/i/c/k/partlycloudy.gif
Fife	2017-12-24	2017-12-23	11	6	C	Chance of Rain	http://icons.wxug.com/i/c/k/chancerain.gif
Fife	2017-12-25	2017-12-23	7	2	C	Rain	http://icons.wxug.com/i/c/k/rain.gif
Fife	2017-12-26	2017-12-23	4	0	C	Partly Cloudy	http://icons.wxug.com/i/c/k/partlycloudy.gif
Edinburgh	2017-12-27	2017-12-27	1	-2	C	Clear	http://icons.wxug.com/i/c/k/clear.gif
Edinburgh	2017-12-28	2017-12-28	2	-4	C	Snow	http://icons.wxug.com/i/c/k/snow.gif
Edinburgh	2017-12-29	2017-12-29	1	0	C	Ice Pellets	http://icons.wxug.com/i/c/k/sleet.gif
WestLothian	2017-12-27	2017-12-26	1	-3	C	Clear	http://icons.wxug.com/i/c/k/clear.gif
WestLothian	2017-12-28	2017-12-26	2	-2	C	Clear	http://icons.wxug.com/i/c/k/clear.gif
WestLothian	2017-12-29	2017-12-26	3	2	C	Snow	http://icons.wxug.com/i/c/k/snow.gif
Midlothian	2017-12-27	2017-12-26	1	-3	C	Partly Cloudy	http://icons.wxug.com/i/c/k/partlycloudy.gif
Midlothian	2017-12-28	2017-12-26	1	-3	C	Clear	http://icons.wxug.com/i/c/k/clear.gif
Midlothian	2017-12-29	2017-12-26	3	2	C	Snow	http://icons.wxug.com/i/c/k/snow.gif
EastLothian	2017-12-27	2017-12-26	3	0	C	Clear	http://icons.wxug.com/i/c/k/clear.gif
EastLothian	2017-12-28	2017-12-26	3	-1	C	Clear	http://icons.wxug.com/i/c/k/clear.gif
EastLothian	2017-12-29	2017-12-26	4	3	C	Chance of Rain	http://icons.wxug.com/i/c/k/chancerain.gif
Fife	2017-12-27	2017-12-26	3	-1	C	Clear	http://icons.wxug.com/i/c/k/clear.gif
Fife	2017-12-28	2017-12-26	3	-2	C	Clear	http://icons.wxug.com/i/c/k/clear.gif
Fife	2017-12-29	2017-12-26	4	2	C	Snow	http://icons.wxug.com/i/c/k/snow.gif
Edinburgh	2017-12-30	2017-12-30	5	3	C	Rain	http://icons.wxug.com/i/c/k/rain.gif
Edinburgh	2017-12-31	2017-12-31	7	2	C	Chance of Rain	http://icons.wxug.com/i/c/k/chancerain.gif
Edinburgh	2018-01-01	2018-01-01	6	0	C	Clear	http://icons.wxug.com/i/c/k/clear.gif
WestLothian	2017-12-30	2017-12-29	5	2	C	Snow	http://icons.wxug.com/i/c/k/snow.gif
WestLothian	2017-12-31	2017-12-29	5	1	C	Rain	http://icons.wxug.com/i/c/k/rain.gif
WestLothian	2018-01-01	2017-12-29	4	-1	C	Chance of Rain	http://icons.wxug.com/i/c/k/chancerain.gif
Midlothian	2017-12-30	2017-12-29	5	2	C	Snow	http://icons.wxug.com/i/c/k/snow.gif
Midlothian	2017-12-31	2017-12-29	4	1	C	Rain	http://icons.wxug.com/i/c/k/rain.gif
Midlothian	2018-01-01	2017-12-29	4	-1	C	Chance of Rain	http://icons.wxug.com/i/c/k/chancerain.gif
EastLothian	2017-12-30	2017-12-29	7	4	C	Rain	http://icons.wxug.com/i/c/k/rain.gif
EastLothian	2017-12-31	2017-12-29	7	3	C	Rain	http://icons.wxug.com/i/c/k/rain.gif
EastLothian	2018-01-01	2017-12-29	6	2	C	Chance of Rain	http://icons.wxug.com/i/c/k/chancerain.gif
Fife	2017-12-30	2017-12-29	6	3	C	Rain	http://icons.wxug.com/i/c/k/rain.gif
Fife	2017-12-31	2017-12-29	6	2	C	Rain	http://icons.wxug.com/i/c/k/rain.gif
Fife	2018-01-01	2017-12-29	5	0	C	Chance of Rain	http://icons.wxug.com/i/c/k/chancerain.gif
Edinburgh	2018-01-05	2018-06-18	4	1	C	Chance of Rain	http://icons.wxug.com/i/c/k/chancerain.gif
Edinburgh	2018-01-02	2018-01-02	5	1	C	Rain	http://icons.wxug.com/i/c/k/rain.gif
Edinburgh	2018-01-03	2018-06-18	8	2	C	Chance of Rain	http://icons.wxug.com/i/c/k/chancerain.gif
Edinburgh	2018-01-04	2018-06-18	5	0	C	Chance of Rain	http://icons.wxug.com/i/c/k/chancerain.gif
WestLothian	2018-01-02	2018-01-01	4	2	C	Rain	http://icons.wxug.com/i/c/k/rain.gif
WestLothian	2018-01-03	2018-01-01	6	2	C	Chance of Rain	http://icons.wxug.com/i/c/k/chancerain.gif
WestLothian	2018-01-04	2018-01-01	5	2	C	Rain	http://icons.wxug.com/i/c/k/rain.gif
Midlothian	2018-01-02	2018-01-01	4	2	C	Rain	http://icons.wxug.com/i/c/k/rain.gif
Midlothian	2018-01-03	2018-01-01	6	2	C	Chance of Rain	http://icons.wxug.com/i/c/k/chancerain.gif
Midlothian	2018-01-04	2018-01-01	5	1	C	Rain	http://icons.wxug.com/i/c/k/rain.gif
EastLothian	2018-01-02	2018-01-01	5	3	C	Rain	http://icons.wxug.com/i/c/k/rain.gif
EastLothian	2018-01-03	2018-01-01	7	3	C	Overcast	http://icons.wxug.com/i/c/k/cloudy.gif
EastLothian	2018-01-04	2018-01-01	6	3	C	Chance of Rain	http://icons.wxug.com/i/c/k/chancerain.gif
Fife	2018-01-02	2018-01-01	5	3	C	Rain	http://icons.wxug.com/i/c/k/rain.gif
Fife	2018-01-03	2018-01-01	7	2	C	Overcast	http://icons.wxug.com/i/c/k/cloudy.gif
Fife	2018-01-04	2018-01-01	6	3	C	Rain	http://icons.wxug.com/i/c/k/rain.gif
Edinburgh	2018-01-06	2018-06-18	3	-4	C	Chance of Rain	http://icons.wxug.com/i/c/k/chancerain.gif
WestLothian	2018-01-05	2018-01-04	3	-1	C	Rain	http://icons.wxug.com/i/c/k/rain.gif
Edinburgh	2018-01-07	2018-01-07	3	-3	C	Clear	http://icons.wxug.com/i/c/k/clear.gif
WestLothian	2018-01-06	2018-01-04	2	-7	C	Partly Cloudy	http://icons.wxug.com/i/c/k/partlycloudy.gif
WestLothian	2018-01-07	2018-01-04	1	-7	C	Clear	http://icons.wxug.com/i/c/k/clear.gif
Midlothian	2018-01-05	2018-01-04	3	1	C	Snow	http://icons.wxug.com/i/c/k/snow.gif
Midlothian	2018-01-06	2018-01-04	2	-8	C	Partly Cloudy	http://icons.wxug.com/i/c/k/partlycloudy.gif
Midlothian	2018-01-07	2018-01-04	1	-7	C	Clear	http://icons.wxug.com/i/c/k/clear.gif
EastLothian	2018-01-05	2018-01-04	5	3	C	Rain	http://icons.wxug.com/i/c/k/rain.gif
EastLothian	2018-01-06	2018-01-04	4	-3	C	Partly Cloudy	http://icons.wxug.com/i/c/k/partlycloudy.gif
EastLothian	2018-01-07	2018-01-04	3	-3	C	Clear	http://icons.wxug.com/i/c/k/clear.gif
Fife	2018-01-05	2018-01-04	4	0	C	Rain	http://icons.wxug.com/i/c/k/rain.gif
Fife	2018-01-06	2018-01-04	3	-4	C	Clear	http://icons.wxug.com/i/c/k/clear.gif
Fife	2018-01-07	2018-01-04	2	-4	C	Clear	http://icons.wxug.com/i/c/k/clear.gif
Edinburgh	2018-01-09	2018-01-09	3	2	C	Chance of Rain	http://icons.wxug.com/i/c/k/chancerain.gif
Edinburgh	2018-01-08	2018-01-08	2	1	C	Partly Cloudy	http://icons.wxug.com/i/c/k/partlycloudy.gif
Edinburgh	2018-01-10	2018-01-10	3	0	C	Mostly Cloudy	http://icons.wxug.com/i/c/k/mostlycloudy.gif
WestLothian	2018-01-08	2018-01-07	3	-1	C	Clear	http://icons.wxug.com/i/c/k/clear.gif
WestLothian	2018-01-09	2018-01-07	4	2	C	Mostly Cloudy	http://icons.wxug.com/i/c/k/mostlycloudy.gif
WestLothian	2018-01-10	2018-01-07	5	1	C	Chance of Rain	http://icons.wxug.com/i/c/k/chancerain.gif
Midlothian	2018-01-08	2018-01-07	3	0	C	Clear	http://icons.wxug.com/i/c/k/clear.gif
Midlothian	2018-01-09	2018-01-07	3	2	C	Overcast	http://icons.wxug.com/i/c/k/cloudy.gif
Midlothian	2018-01-10	2018-01-07	4	0	C	Chance of Rain	http://icons.wxug.com/i/c/k/chancerain.gif
EastLothian	2018-01-08	2018-01-07	4	2	C	Clear	http://icons.wxug.com/i/c/k/clear.gif
EastLothian	2018-01-09	2018-01-07	5	4	C	Overcast	http://icons.wxug.com/i/c/k/cloudy.gif
EastLothian	2018-01-10	2018-01-07	6	2	C	Chance of Rain	http://icons.wxug.com/i/c/k/chancerain.gif
Fife	2018-01-08	2018-01-07	5	2	C	Partly Cloudy	http://icons.wxug.com/i/c/k/partlycloudy.gif
Fife	2018-01-09	2018-01-07	5	3	C	Overcast	http://icons.wxug.com/i/c/k/cloudy.gif
Fife	2018-01-10	2018-01-07	6	1	C	Chance of Rain	http://icons.wxug.com/i/c/k/chancerain.gif
Edinburgh	2018-01-11	2018-01-11	5	2	C	Mostly Cloudy	http://icons.wxug.com/i/c/k/mostlycloudy.gif
Edinburgh	2018-01-12	2018-01-12	7	2	C	Mostly Cloudy	http://icons.wxug.com/i/c/k/mostlycloudy.gif
Edinburgh	2018-01-13	2018-01-13	6	2	C	Chance of Rain	http://icons.wxug.com/i/c/k/chancerain.gif
WestLothian	2018-01-11	2018-01-10	3	-2	C	Partly Cloudy	http://icons.wxug.com/i/c/k/partlycloudy.gif
WestLothian	2018-01-12	2018-01-10	5	2	C	Partly Cloudy	http://icons.wxug.com/i/c/k/partlycloudy.gif
WestLothian	2018-01-13	2018-01-10	4	2	C	Chance of Rain	http://icons.wxug.com/i/c/k/chancerain.gif
Midlothian	2018-01-11	2018-01-10	3	-2	C	Partly Cloudy	http://icons.wxug.com/i/c/k/partlycloudy.gif
Midlothian	2018-01-12	2018-01-10	5	1	C	Partly Cloudy	http://icons.wxug.com/i/c/k/partlycloudy.gif
Midlothian	2018-01-13	2018-01-10	4	1	C	Chance of Rain	http://icons.wxug.com/i/c/k/chancerain.gif
EastLothian	2018-01-11	2018-01-10	4	0	C	Clear	http://icons.wxug.com/i/c/k/clear.gif
EastLothian	2018-01-12	2018-01-10	6	3	C	Partly Cloudy	http://icons.wxug.com/i/c/k/partlycloudy.gif
EastLothian	2018-01-13	2018-01-10	6	3	C	Mostly Cloudy	http://icons.wxug.com/i/c/k/mostlycloudy.gif
Fife	2018-01-11	2018-01-10	4	-1	C	Partly Cloudy	http://icons.wxug.com/i/c/k/partlycloudy.gif
Fife	2018-01-12	2018-01-10	6	3	C	Partly Cloudy	http://icons.wxug.com/i/c/k/partlycloudy.gif
Fife	2018-01-13	2018-01-10	6	3	C	Chance of Rain	http://icons.wxug.com/i/c/k/chancerain.gif
Edinburgh	2018-01-14	2018-01-14	6	6	C	Rain	http://icons.wxug.com/i/c/k/rain.gif
Edinburgh	2018-01-15	2018-01-15	8	0	C	Snow Showers	http://icons.wxug.com/i/c/k/snow.gif
Edinburgh	2018-01-16	2018-01-16	2	-1	C	Snow Showers	http://icons.wxug.com/i/c/k/snow.gif
WestLothian	2018-01-14	2018-01-13	7	5	C	Partly Cloudy	http://icons.wxug.com/i/c/k/partlycloudy.gif
WestLothian	2018-01-15	2018-01-13	7	1	C	Chance of Rain	http://icons.wxug.com/i/c/k/chancerain.gif
WestLothian	2018-01-16	2018-01-13	2	-1	C	Snow Showers	http://icons.wxug.com/i/c/k/snow.gif
Midlothian	2018-01-14	2018-01-13	6	4	C	Partly Cloudy	http://icons.wxug.com/i/c/k/partlycloudy.gif
Midlothian	2018-01-15	2018-01-13	7	0	C	Chance of Rain	http://icons.wxug.com/i/c/k/chancerain.gif
Midlothian	2018-01-16	2018-01-13	2	-2	C	Snow Showers	http://icons.wxug.com/i/c/k/snow.gif
Edinburgh	2018-01-17	2018-01-17	4	-1	C	Partly Cloudy	http://icons.wxug.com/i/c/k/partlycloudy.gif
Edinburgh	2018-01-18	2018-01-18	4	0	C	Partly Cloudy	http://icons.wxug.com/i/c/k/partlycloudy.gif
WestLothian	2018-01-17	2018-01-16	3	0	C	Snow	http://icons.wxug.com/i/c/k/snow.gif
WestLothian	2018-01-18	2018-01-16	3	-1	C	Partly Cloudy	http://icons.wxug.com/i/c/k/partlycloudy.gif
WestLothian	2018-01-19	2018-01-16	3	-4	C	Mostly Cloudy	http://icons.wxug.com/i/c/k/mostlycloudy.gif
Midlothian	2018-01-17	2018-01-16	3	0	C	Snow Showers	http://icons.wxug.com/i/c/k/snow.gif
Midlothian	2018-01-18	2018-01-16	3	-1	C	Partly Cloudy	http://icons.wxug.com/i/c/k/partlycloudy.gif
Midlothian	2018-01-19	2018-01-16	3	-3	C	Mostly Cloudy	http://icons.wxug.com/i/c/k/mostlycloudy.gif
EastLothian	2018-01-17	2018-01-16	4	2	C	Partly Cloudy	http://icons.wxug.com/i/c/k/partlycloudy.gif
EastLothian	2018-01-18	2018-01-16	4	1	C	Partly Cloudy	http://icons.wxug.com/i/c/k/partlycloudy.gif
EastLothian	2018-01-19	2018-01-16	4	0	C	Partly Cloudy	http://icons.wxug.com/i/c/k/partlycloudy.gif
Fife	2018-01-17	2018-01-16	4	1	C	Snow	http://icons.wxug.com/i/c/k/snow.gif
Fife	2018-01-18	2018-01-16	4	0	C	Partly Cloudy	http://icons.wxug.com/i/c/k/partlycloudy.gif
Fife	2018-01-19	2018-01-16	4	-2	C	Mostly Cloudy	http://icons.wxug.com/i/c/k/mostlycloudy.gif
Edinburgh	2018-01-19	2018-01-19	3	-1	C	Chance of Snow	http://icons.wxug.com/i/c/k/chancesnow.gif
Edinburgh	2018-01-20	2018-01-20	2	-4	C	Partly Cloudy	http://icons.wxug.com/i/c/k/partlycloudy.gif
Edinburgh	2018-01-21	2018-01-21	1	3	C	Chance of Rain	http://icons.wxug.com/i/c/k/chancerain.gif
Edinburgh	2018-01-22	2018-01-22	7	4	C	Overcast	http://icons.wxug.com/i/c/k/cloudy.gif
WestLothian	2018-01-20	2018-01-19	2	-4	C	Clear	http://icons.wxug.com/i/c/k/clear.gif
WestLothian	2018-01-21	2018-01-19	4	3	C	Snow	http://icons.wxug.com/i/c/k/snow.gif
WestLothian	2018-01-22	2018-01-19	6	4	C	Overcast	http://icons.wxug.com/i/c/k/cloudy.gif
Midlothian	2018-01-20	2018-01-19	2	-4	C	Clear	http://icons.wxug.com/i/c/k/clear.gif
Midlothian	2018-01-21	2018-01-19	4	3	C	Snow	http://icons.wxug.com/i/c/k/snow.gif
Midlothian	2018-01-22	2018-01-19	6	4	C	Overcast	http://icons.wxug.com/i/c/k/cloudy.gif
EastLothian	2018-01-20	2018-01-19	3	-1	C	Clear	http://icons.wxug.com/i/c/k/clear.gif
Edinburgh	2018-01-25	2018-01-25	8	0	C	Chance of Rain	http://icons.wxug.com/i/c/k/chancerain.gif
Edinburgh	2018-01-23	2018-01-23	10	5	C	Rain	http://icons.wxug.com/i/c/k/rain.gif
Edinburgh	2018-01-24	2018-01-24	9	3	C	Chance of Rain	http://icons.wxug.com/i/c/k/chancerain.gif
